Player;selector1-href;Date;From club;To club;Date of birth;Age;National player;International matches;Market value;Posición
Ronald Matarrita;https://www.transfermarkt.com/ronald-matarrita/profil/spieler/268273;Jul 1, 2013;Alajuelense U20;LD Alajuelense;Jul 9, 1994 ;26;Costa RicaNo current national team players;37;800;Left-Back
Ronald Matarrita;https://www.transfermarkt.com/ronald-matarrita/profil/spieler/268273;Jan 16, 2016;LD Alajuelense;NYCFC;Jul 9, 1994 ;26;Costa RicaNo current national team players;37;800;Left-Back
Joseph Mora;https://www.transfermarkt.com/joseph-mora/profil/spieler/131255;Jul 1, 2011;Alajuelense U20;Belén;Jan 15, 1993 ;27;Costa RicaNo current national team players;4;650;Left-Back
Joseph Mora;https://www.transfermarkt.com/joseph-mora/profil/spieler/131255;Jul 1, 2012;Belén;CS Uruguay;Jan 15, 1993 ;27;Costa RicaNo current national team players;4;650;Left-Back
Joseph Mora;https://www.transfermarkt.com/joseph-mora/profil/spieler/131255;Jul 1, 2013;CS Uruguay;Belén FC;Jan 15, 1993 ;27;Costa RicaNo current national team players;4;650;Left-Back
Joseph Mora;https://www.transfermarkt.com/joseph-mora/profil/spieler/131255;Feb 5, 2015;Belén FC;Saprissa;Jan 15, 1993 ;27;Costa RicaNo current national team players;4;650;Left-Back
Joseph Mora;https://www.transfermarkt.com/joseph-mora/profil/spieler/131255;Mar 7, 2018;Saprissa;D.C. United;Jan 15, 1993 ;27;Costa RicaNo current national team players;4;650;Left-Back
Ulises Segura;https://www.transfermarkt.com/ulises-segura/profil/spieler/306431;Jan 1, 2014;Gen. Saprissa;Saprissa;Jun 23, 1993 ;27;Costa RicaNo current national team players;10;600;Attacking Midfield
Ulises Segura;https://www.transfermarkt.com/ulises-segura/profil/spieler/306431;Jul 1, 2014;Saprissa;CS Uruguay;Jun 23, 1993 ;27;Costa RicaNo current national team players;10;600;Attacking Midfield
Ulises Segura;https://www.transfermarkt.com/ulises-segura/profil/spieler/306431;Jun 30, 2015;CS Uruguay;Saprissa;Jun 23, 1993 ;27;Costa RicaNo current national team players;10;600;Attacking Midfield
Ulises Segura;https://www.transfermarkt.com/ulises-segura/profil/spieler/306431;Jan 1, 2018;Saprissa;D.C. United;Jun 23, 1993 ;27;Costa RicaNo current national team players;10;600;Attacking Midfield
Julio Cascante;https://www.transfermarkt.com/julio-cascante/profil/spieler/194909;Jul 1, 2011;Brujas FC U17;Orión FC;Oct 3, 1993 ;26;Costa RicaNo current national team players;-;400;Centre-Back
Julio Cascante;https://www.transfermarkt.com/julio-cascante/profil/spieler/194909;Jul 1, 2012;Orión FC;UCR;Oct 3, 1993 ;26;Costa RicaNo current national team players;-;400;Centre-Back
Julio Cascante;https://www.transfermarkt.com/julio-cascante/profil/spieler/194909;Jul 1, 2016;UCR;Saprissa;Oct 3, 1993 ;26;Costa RicaNo current national team players;-;400;Centre-Back
Julio Cascante;https://www.transfermarkt.com/julio-cascante/profil/spieler/194909;Jan 2, 2018;Saprissa;Timbers;Oct 3, 1993 ;26;Costa RicaNo current national team players;-;400;Centre-Back
David Ramírez;https://www.transfermarkt.com/david-ramirez/profil/spieler/273980;Jul 1, 2013;Gen. Saprissa;Saprissa;May 28, 1993 ;27;Costa RicaNo current national team players;20;350;Centre-Forward
David Ramírez;https://www.transfermarkt.com/david-ramirez/profil/spieler/273980;Jan 12, 2015;Saprissa;Évian;May 28, 1993 ;27;Costa RicaNo current national team players;20;350;Centre-Forward
David Ramírez;https://www.transfermarkt.com/david-ramirez/profil/spieler/273980;Jun 30, 2015;Évian;Saprissa;May 28, 1993 ;27;Costa RicaNo current national team players;20;350;Centre-Forward
David Ramírez;https://www.transfermarkt.com/david-ramirez/profil/spieler/273980;Jul 1, 2016;Saprissa;Moreirense;May 28, 1993 ;27;Costa RicaNo current national team players;20;350;Centre-Forward
David Ramírez;https://www.transfermarkt.com/david-ramirez/profil/spieler/273980;Jun 30, 2017;Moreirense;Saprissa;May 28, 1993 ;27;Costa RicaNo current national team players;20;350;Centre-Forward
David Ramírez;https://www.transfermarkt.com/david-ramirez/profil/spieler/273980;Jul 21, 2018;Saprissa;Omonia Nikosia;May 28, 1993 ;27;Costa RicaNo current national team players;20;350;Centre-Forward
David Ramírez;https://www.transfermarkt.com/david-ramirez/profil/spieler/273980;Aug 30, 2019;Omonia Nikosia;Saprissa;May 28, 1993 ;27;Costa RicaNo current national team players;20;350;Centre-Forward
David Ramírez;https://www.transfermarkt.com/david-ramirez/profil/spieler/273980;Jun 30, 2020;Saprissa;Omonia Nikosia;May 28, 1993 ;27;Costa RicaNo current national team players;20;350;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jan 1, 2014;Alajuelense U20;AD Carmelita;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jun 30, 2014;AD Carmelita;Alajuelense U20;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jul 1, 2014;Alajuelense U20;LD Alajuelense;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Sep 24, 2014;LD Alajuelense;AD Carmelita;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Dec 31, 2014;AD Carmelita;LD Alajuelense;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jan 28, 2016;LD Alajuelense;UCR;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jun 30, 2017;UCR;LD Alajuelense;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
