,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,País,To Pais
0,Ronald Matarrita,https://www.transfermarkt.com/ronald-matarrita/profil/spieler/268273,"Jul 1, 2013",Alajuelense U20,LD Alajuelense,"Jul 9, 1994 ",26.0,Costa RicaNo current national team players,37,€800Th.,Left-Back,Costa Rica,Costa Rica
1,Francisco Rodríguez,https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368,"Jul 1, 2014",Alajuelense U20,LD Alajuelense,"Feb 8, 1993 ",27.0,Costa RicaNo current national team players,1,€325Th.,Centre-Forward,Costa Rica,Costa Rica
2,Jean Carlo Agüero,https://www.transfermarkt.com/jean-carlo-aguero/profil/spieler/278146,"Jul 1, 2013",Alajuelense U20,LD Alajuelense,"Jul 6, 1993 ",27.0,No national team players,-,€200Th.,Centre-Back,Costa Rica,Costa Rica
3,Luis Sequeira,https://www.transfermarkt.com/luis-sequeira/profil/spieler/278158,"Jul 1, 2014",Alajuelense U20,LD Alajuelense,"May 11, 1994 ",26.0,Costa RicaNo current national team players,-,€150Th.,Right-Back,Costa Rica,Costa Rica
4,Steve Garita,https://www.transfermarkt.com/steve-garita/profil/spieler/271872,"Jul 1, 2013",Alajuelense U20,LD Alajuelense,"Sep 10, 1993 ",26.0,No national team players,-,€125Th.,Right-Back,Costa Rica,Costa Rica
5,Vianney Blanco,https://www.transfermarkt.com/vianney-blanco/profil/spieler/192323,"Jan 1, 2011",Alajuelense U20,LD Alajuelense,"Sep 1, 1992 ",27.0,No national team players,-,€75Th.,Left Midfield,Costa Rica,Costa Rica
6,José Guillermo Ortiz,https://www.transfermarkt.com/jose-guillermo-ortiz/profil/spieler/256343,"Jan 10, 2013",Alajuelense U20,LD Alajuelense,"Jun 20, 1992 ",28.0,Costa RicaNo current national team players,13,€650Th.,Centre-Forward,Costa Rica,Costa Rica
7,Christopher Meneses,https://www.transfermarkt.com/christopher-meneses/profil/spieler/190258,"Jan 1, 2009",Alajuelense U20,LD Alajuelense,"May 2, 1990 ",30.0,Costa RicaNo current national team players,20,€225Th.,Left-Back,Costa Rica,Costa Rica
8,José Salvatierra,https://www.transfermarkt.com/jose-salvatierra/profil/spieler/187772,"Jan 1, 2009",Alajuelense U20,LD Alajuelense,"Oct 10, 1989 ",30.0,Costa RicaNo current national team players,36,€175Th.,Right-Back,Costa Rica,Costa Rica
9,Alejandro Aguilar,https://www.transfermarkt.com/alejandro-aguilar/profil/spieler/193923,"Jan 1, 2011",Alajuelense U20,LD Alajuelense,"Oct 10, 1990 ",29.0,Costa RicaNo current national team players,1,€175Th.,Centre-Forward,Costa Rica,Costa Rica
10,Diego Calvo,https://www.transfermarkt.com/diego-calvo/profil/spieler/192315,"Jul 1, 2010",Alajuelense U20,LD Alajuelense,"Mar 25, 1991 ",29.0,Costa RicaNo current national team players,10,-,Left Winger,Costa Rica,Costa Rica
11,Guillermo Arias,https://www.transfermarkt.com/guillermo-arias/profil/spieler/216456,"Jul 1, 2012",Alajuelense U20,LD Alajuelense,"Sep 20, 1990 ",29.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
12,Esteban Carrillo,https://www.transfermarkt.com/esteban-carrillo/profil/spieler/216037,"Jul 1, 2012",Alajuelense U20,LD Alajuelense,"Jun 12, 1992 ",28.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
13,Giancarlo González,https://www.transfermarkt.com/giancarlo-gonzalez/profil/spieler/111893,"Jul 1, 2008",Alajuelense U20,LD Alajuelense,"Feb 8, 1988 ",32.0,Costa RicaNo current national team players,82,€725Th.,Centre-Back,Costa Rica,Costa Rica
14,Jean Carlos Solórzano,https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934,"Jan 1, 2007",Alajuelense U20,LD Alajuelense,"Jan 8, 1988 ",32.0,Costa RicaNo current national team players,1,€250Th.,Centre-Forward,Costa Rica,Costa Rica
15,Rudy Dawson,https://www.transfermarkt.com/rudy-dawson/profil/spieler/111917,"Jan 1, 2008",Alajuelense U20,LD Alajuelense,"May 8, 1988 ",32.0,No national team players,-,€225Th.,Centre-Back,Costa Rica,Costa Rica
16,Diego Estrada,https://www.transfermarkt.com/diego-estrada/profil/spieler/128514,"Jan 1, 2008",Alajuelense U20,LD Alajuelense,"May 25, 1989 ",31.0,Costa RicaNo current national team players,4,€200Th.,Attacking Midfield,Costa Rica,Costa Rica
17,Kenner Gutiérrez,https://www.transfermarkt.com/kenner-gutierrez/profil/spieler/128520,"Jul 1, 2009",Alajuelense U20,LD Alajuelense,"Jun 9, 1989 ",31.0,Costa RicaNo current national team players,9,€200Th.,Centre-Back,Costa Rica,Costa Rica
18,Ariel Rodríguez,https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902,"Jul 1, 2004",Alajuelense U20,LD Alajuelense,"Apr 22, 1986 ",34.0,Costa RicaNo current national team players,15,€200Th.,Defensive Midfield,Costa Rica,Costa Rica
19,Kevin Ruiz,https://www.transfermarkt.com/kevin-ruiz/profil/spieler/278157,"Jul 1, 2014",Alajuelense U20,LD Alajuelense,"Jun 10, 1988 ",32.0,Costa RicaCurrent national team players,-,€150Th.,Goalkeeper,Costa Rica,Costa Rica
20,Luis Miguel Valle,https://www.transfermarkt.com/luis-miguel-valle/profil/spieler/188466,"Jan 1, 2009",Alajuelense U20,LD Alajuelense,"Apr 11, 1989 ",31.0,Costa RicaNo current national team players,4,€125Th.,Defensive Midfield,Costa Rica,Costa Rica
21,Leslie Ramos,https://www.transfermarkt.com/leslie-ramos/profil/spieler/111901,"Jan 1, 2008",Alajuelense U20,LD Alajuelense,"Jan 25, 1988 ",32.0,No national team players,-,-,Defender,Costa Rica,Costa Rica
22,Javier Baldi,https://www.transfermarkt.com/javier-baldi/profil/spieler/193848,"Jul 1, 2008",Alajuelense U20,LD Alajuelense,"May 26, 1989 ",31.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
23,Elías Palma,https://www.transfermarkt.com/elias-palma/profil/spieler/193887,"Jul 1, 2008",Alajuelense U20,LD Alajuelense,"Jul 7, 1987 ",33.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
24,Roy Myrie,https://www.transfermarkt.com/roy-myrie/profil/spieler/32572,"Jul 1, 2001",Alajuelense U20,LD Alajuelense,"Aug 21, 1982 ",38.0,Costa RicaNo current national team players,24,€150Th.,Centre-Back,Costa Rica,Costa Rica
25,Patrick Pemberton,https://www.transfermarkt.com/patrick-pemberton/profil/spieler/102376,"Jan 1, 2002",Alajuelense U20,LD Alajuelense,"Apr 24, 1982 ",38.0,Costa RicaNo current national team players,38,€150Th.,Goalkeeper,Costa Rica,Costa Rica
26,Christian Montero,https://www.transfermarkt.com/christian-montero/profil/spieler/17377,"Jul 1, 2000",Alajuelense U20,LD Alajuelense,"Jun 24, 1982 ",38.0,Costa RicaNo current national team players,6,-,Centre-Back,Costa Rica,Costa Rica
27,Alejandro González,https://www.transfermarkt.com/alejandro-gonzalez/profil/spieler/388892,"Jan 1, 1975",Alajuelense U20,LD Alajuelense,"Mar 3, 1955 ",65.0,Costa RicaNo current national team players,13,-,Goalkeeper,Costa Rica,Costa Rica
28,Ricardo González,https://www.transfermarkt.com/ricardo-gonzalez/profil/spieler/35366,"Jan 1, 1994",Alajuelense U20,LD Alajuelense,"Mar 6, 1974 ",46.0,Costa RicaNo current national team players,41,-,Goalkeeper,Costa Rica,Costa Rica
29,Alexander Castro,https://www.transfermarkt.com/alexander-castro/profil/spieler/35370,"Jul 1, 2000",Alajuelense U20,LD Alajuelense,"Feb 14, 1979 ",41.0,Costa RicaNo current national team players,22,-,Right-Back,Costa Rica,Costa Rica
30,Errol Daniels,https://www.transfermarkt.com/errol-daniels/profil/spieler/269366,"Jan 1, 1964",Alajuelense U20,LD Alajuelense,"May 17, 1944 ",76.0,Costa RicaNo current national team players,19,-,Centre-Forward,Costa Rica,Costa Rica
31,Juan Pablo Vargas,https://www.transfermarkt.com/juan-pablo-vargas/profil/spieler/271907,"Jul 1, 2013",Alajuelense U20,LD Alajuelense,"Jun 6, 1995 ",25.0,Costa RicaNo current national team players,4,€550Th.,Centre-Back,Costa Rica,Costa Rica
32,Juan Pablo Vargas,https://www.transfermarkt.com/juan-pablo-vargas/profil/spieler/271907,"Jan 16, 2015",Alajuelense U20,LD Alajuelense,"Jun 6, 1995 ",25.0,Costa RicaNo current national team players,4,€550Th.,Centre-Back,Costa Rica,Costa Rica
33,Arturo Campos,https://www.transfermarkt.com/arturo-campos/profil/spieler/353503,"Jan 16, 2015",Alajuelense U20,LD Alajuelense,"Dec 14, 1995 ",24.0,Costa RicaNo current national team players,-,€225Th.,Centre-Forward,Costa Rica,Costa Rica
