Equipo,País
Unknown,Unknown
Herediano,Costa Rica
Saprissa,Costa Rica
LD Alajuelense,Costa Rica
Cartaginés,Costa Rica
Puntarenas FC,Costa Rica
AD Carmelita,Costa Rica
Santos FC,Costa Rica
AD San Carlos,Costa Rica
Pérez Zeledón,Costa Rica
Limón FC,Costa Rica
UCR,Costa Rica
Grecia,Costa Rica
CS Uruguay,Costa Rica
Barrio México,Costa Rica
Liberia,Costa Rica
ADR Jicaral,Costa Rica
Brujas FC,Costa Rica
Retired,Retired
Without Club,Without Club
Juv. Escazuceña,Costa Rica
Belén FC,Costa Rica
Guanacasteca,Costa Rica
Herediano U20,Costa Rica
Alajuelense U20,Costa Rica
Belén,Costa Rica
Jacó Rays,Costa Rica
AD Aserrí,Costa Rica
Gen. Saprissa,Costa Rica
Guadalupe FC,Costa Rica
Orión FC,Costa Rica
Ramonense,Costa Rica
AS Puma,Costa Rica
Cofutpa,Costa Rica
La U,Costa Rica
Turrialba,Costa Rica
Santa Ana,Costa Rica
Mpl. San Ramón,Costa Rica
Cariari Pococí,Costa Rica
Sp. San José,Costa Rica
Saprissa II,Costa Rica
Curridabat FC,Costa Rica
Mpl Turrialba,Costa Rica
Águilas,Costa Rica
Cartaginés U20,Costa Rica
Saprissa U17,Costa Rica
Comunicaciones,Guatemala
Xelajú,Guatemala
Santos II,Costa Rica
Limón U20,Costa Rica
Santa Bárbara,Costa Rica
Carmelita U20,Costa Rica
Mpl. Puntarenas,Costa Rica
AD Limonense,Costa Rica
Career break,Costa Rica
Fútbol Cons.,Costa Rica
Mpl. Liberia II,Costa Rica
Antigua GFC,Guatemala
Malacateco,Guatemala
PZ U20,Costa Rica
CS Uruguay II,Costa Rica
UCR II,Costa Rica
Once de Abril,Costa Rica
Coto Brus,Costa Rica
Saprissa U20,Costa Rica
AD Rosario,Costa Rica
Alajuelense U17,Costa Rica
Golfito,Costa Rica
ADF Siquirreña,Costa Rica
AD Santa Rosa,Costa Rica
CSD Municipal,Guatemala
Santacruceña,Costa Rica
Cobán Imperial,Guatemala
Belén U20,Costa Rica
Paraíso Total,Costa Rica
Cartagena-Cañas,Costa Rica
Chicago Fire,USA
Osa,Costa Rica
Marathón,Honduras
Real Pococí,Costa Rica
Diriangén FC,Nicaragua
Garabito,Costa Rica
Columbus Crew,USA
Liberia Mía,Costa Rica
San Carlos U20,Costa Rica
Puntarenas U18,Costa Rica
Suchitepéquez,Guatemala
Cartaginés U17,Costa Rica
AD Desamparados,Costa Rica
LA Galaxy,USA
CF Pachuca,MX
FC Moravia,Costa Rica
Necaxa,MX
Carmelita U17,Costa Rica
Arsenal,Inglaterra
Cartagena,Costa Rica
Municipal Osa,Costa Rica
Mictlán,Guatemala
Start,Noruega
Sagrada Familia,Costa Rica
Limón U17,Costa Rica
Timbers,USA
Siquinalá,Guatemala
OFI Crete,Grecia
Salt Lake,USA
La Piedad,MX
Melbourne,AUS
AD Zona Norte,Costa Rica
Carchá,Guatemala
Albacete,España
Bayamón FC,Puerto Rico
Halcones,Guatemala
León,MX
Sarpsborg 08,Noruega
Brujas FC U17,Costa Rica
FC Copenhagen,Dinamarca
FC Midtjylland,Dinamarca
Fredrikstad,Noruega
Revolution,USA
Timbers 2,USA
Mineros,MX
San Ramón,Costa Rica
U San Carlos,Costa Rica
Mpl. Grecia U20,Costa Rica
Monarcas Morelia,MX
Vancouver,USA
Colorado,USA
D.C. United,USA
FC Dallas,USA
Guadalupe U20,MX
Deportivo Mixco,Guatemala
N. Concepción,Guatemala
San Carlos U17,Costa Rica
Vålerenga,Noruega
AD La Suerte,Costa Rica
Chanticleers,USA
UAG Tecos,MX
L.A. Firpo,El Salvador
VCU Rams,MLS
LOSC Lille,Francia
Quakes,USA
Minnesota Utd.,USA
LA Galaxy II,USA
Pachuca II,MX
The Strongest,Bolivia
RailHawks,USA
Rosenborg BK,Noruega
AO Kavala,Grecia
Atlante,MX
Brescia,Italia
Chivas USA,USA
Atl. Chiriquí,Panamá
Dorados de Sin.,MX
Deportes Tolima,Colombia
Estudiantes,Venezuela
Aurora,Guatemala
SK Brann,Noruega
AD Guajira,Costa Rica
Tiburones Rojos,MX
MetroStars,USA
Querétaro FC,MX
Tromsø IL,Noruega
Timbers U-23,USA
Unión,MX
Puebla FC,MX
Sounders FC,USA
Philadelphia,USA
Team Wellington,N. Zelanda
NY Red Bulls,USA
RCD España,Honduras
Reading United,USA
AO Trikala,Grecia
Alianza FC,El Salvador
Club Brugge,Bélgica
FC Sion,Suiza
Espanyol,España
Irapuato,MX
Aalesund,Noruega
DL Shide,China
1.FC Nuremberg,Alemania
FAS,El Salvador
Guastatoya,Guatemala
KAA Gent,Bélgica
Haugesund,Noruega
Cerro Porteño,Uruguay
Brisbane Roar,Aus
Götzis,Austria
Akratitos,Grecia
CD Marquense,Guatemala
CD Petapa,Guatemala
CD Victoria,Honduras
Coatepeque,Guatemala
Ph. Union Acad.,USA
Stanford Card.,USA
UCR U17,Costa Rica
Osa CF,Costa Rica
Levante,España
AS Puma II,Costa Rica
Juniors OÖ,Austria
Akron Zips,USA
Zeyar Shwe Myay FC,Myanmar
Poli. Timisoara,Rum
San Luis,MX
Randers FC,Dinamarca
Mérida FC,MX
Sonsonate,El Salvador
Platense FC,Honduras
Morelia,MX
Udinese,Italia
Zulia FC,Venezuela
Norrköping,Suecia
Sporting CP,Portugal
Wellington P.,N. Zelanda
Orlando City SC,USA
Platense,Argentina
Real Betis,España
Plaza Amador,Panamá
Real Monarchs,USA
Silverbacks,USA
Nacional,Uruguay
UES,El Salvador
Milwaukee Wave,USA
Portland Pilots,USA
Sayaxché,Guatemala
Santa Clara,Portugal
Wisla Kraków,Polonia
Venados FC,MX
Xäzär Länkäran,Azerbaijan
Millonarios,Colombia
XJ T. Leopard,China
Le Havre B,Francia
Loko Moscow,Rusia
