,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,from_club_path,final_club_path,final_team,from_pais,to_pais,final_country,path_country
5353,Aaron Cruz,https://www.transfermarkt.com/aaron-cruz/profil/spieler/192326,2012-01-01,AD San Carlos,Career break,"May 25, 1991 ",29.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"AD San Carlos,Career break,AD San Carlos,Pérez Zeledón,UCR","Career break,AD San Carlos,Pérez Zeledón,UCR,Saprissa",Saprissa,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
5390,Aaron Cruz,https://www.transfermarkt.com/aaron-cruz/profil/spieler/192326,2015-01-14,Career break,AD San Carlos,"May 25, 1991 ",29.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"AD San Carlos,Career break,AD San Carlos,Pérez Zeledón,UCR","Career break,AD San Carlos,Pérez Zeledón,UCR,Saprissa",Saprissa,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
5334,Aaron Cruz,https://www.transfermarkt.com/aaron-cruz/profil/spieler/192326,2015-07-01,AD San Carlos,Pérez Zeledón,"May 25, 1991 ",29.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"AD San Carlos,Career break,AD San Carlos,Pérez Zeledón,UCR","Career break,AD San Carlos,Pérez Zeledón,UCR,Saprissa",Saprissa,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
5348,Aaron Cruz,https://www.transfermarkt.com/aaron-cruz/profil/spieler/192326,2015-09-03,Pérez Zeledón,UCR,"May 25, 1991 ",29.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"AD San Carlos,Career break,AD San Carlos,Pérez Zeledón,UCR","Career break,AD San Carlos,Pérez Zeledón,UCR,Saprissa",Saprissa,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
5357,Aaron Cruz,https://www.transfermarkt.com/aaron-cruz/profil/spieler/192326,2017-01-01,UCR,Saprissa,"May 25, 1991 ",29.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"AD San Carlos,Career break,AD San Carlos,Pérez Zeledón,UCR","Career break,AD San Carlos,Pérez Zeledón,UCR,Saprissa",Saprissa,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
5232,Aaron Murillo,https://www.transfermarkt.com/aaron-murillo/profil/spieler/401440,2017-07-01,Alajuelense U20,Guadalupe FC,"Mar 20, 1998 ",22.0,No national team players,-,€125Th.,Defensive Midfield,"Alajuelense U20,Guadalupe FC,Alajuelense U20","Guadalupe FC,Alajuelense U20,Guadalupe FC",Guadalupe FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica"
5276,Aaron Murillo,https://www.transfermarkt.com/aaron-murillo/profil/spieler/401440,2020-06-30,Guadalupe FC,Alajuelense U20,"Mar 20, 1998 ",22.0,No national team players,-,€125Th.,Defensive Midfield,"Alajuelense U20,Guadalupe FC,Alajuelense U20","Guadalupe FC,Alajuelense U20,Guadalupe FC",Guadalupe FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica"
5233,Aaron Murillo,https://www.transfermarkt.com/aaron-murillo/profil/spieler/401440,2020-07-01,Alajuelense U20,Guadalupe FC,"Mar 20, 1998 ",22.0,No national team players,-,€125Th.,Defensive Midfield,"Alajuelense U20,Guadalupe FC,Alajuelense U20","Guadalupe FC,Alajuelense U20,Guadalupe FC",Guadalupe FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica"
6970,Aarón Cordero,https://www.transfermarkt.com/aaron-cordero/profil/spieler/358858,2015-01-01,Limón U20,Limón FC,"Dec 24, 1990 ",29.0,No national team players,-,-,Central Midfield,"Limón U20,Limón FC,Santa Ana,Unknown,Limón FC,Unknown","Limón FC,Santa Ana,Unknown,Limón FC,Unknown,Santa Ana",Santa Ana,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Unknown"
6949,Aarón Cordero,https://www.transfermarkt.com/aaron-cordero/profil/spieler/358858,2016-07-01,Limón FC,Santa Ana,"Dec 24, 1990 ",29.0,No national team players,-,-,Central Midfield,"Limón U20,Limón FC,Santa Ana,Unknown,Limón FC,Unknown","Limón FC,Santa Ana,Unknown,Limón FC,Unknown,Santa Ana",Santa Ana,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Unknown"
6931,Aarón Cordero,https://www.transfermarkt.com/aaron-cordero/profil/spieler/358858,2017-07-01,Santa Ana,Unknown,"Dec 24, 1990 ",29.0,No national team players,-,-,Central Midfield,"Limón U20,Limón FC,Santa Ana,Unknown,Limón FC,Unknown","Limón FC,Santa Ana,Unknown,Limón FC,Unknown,Santa Ana",Santa Ana,Costa Rica,Unknown,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Unknown"
6972,Aarón Cordero,https://www.transfermarkt.com/aaron-cordero/profil/spieler/358858,2018-01-01,Unknown,Limón FC,"Dec 24, 1990 ",29.0,No national team players,-,-,Central Midfield,"Limón U20,Limón FC,Santa Ana,Unknown,Limón FC,Unknown","Limón FC,Santa Ana,Unknown,Limón FC,Unknown,Santa Ana",Santa Ana,Unknown,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Unknown"
6928,Aarón Cordero,https://www.transfermarkt.com/aaron-cordero/profil/spieler/358858,2018-07-01,Limón FC,Unknown,"Dec 24, 1990 ",29.0,No national team players,-,-,Central Midfield,"Limón U20,Limón FC,Santa Ana,Unknown,Limón FC,Unknown","Limón FC,Santa Ana,Unknown,Limón FC,Unknown,Santa Ana",Santa Ana,Costa Rica,Unknown,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Unknown"
6950,Aarón Cordero,https://www.transfermarkt.com/aaron-cordero/profil/spieler/358858,2019-01-01,Unknown,Santa Ana,"Dec 24, 1990 ",29.0,No national team players,-,-,Central Midfield,"Limón U20,Limón FC,Santa Ana,Unknown,Limón FC,Unknown","Limón FC,Santa Ana,Unknown,Limón FC,Unknown,Santa Ana",Santa Ana,Unknown,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Unknown"
